name	mainArea	discoveryYear	recoverableOilMillSm3	recoverableGasBillSm3	recoverableOeMillSm3
35/11-18	North sea	2015	2.0	0.0	2.0
6706/12-3 (Roald Rygg)	Norwegian sea	2015	0.0	2.4	2.4
6406/12-4 S	Norwegian sea	2015	3.18	0.32	3.5
34/8-16 S (Tarvos)	North sea	2015	0.0	0.56	0.74
6406/6-4 S	Norwegian sea	2015	0.0	1.21	1.77
2/4-23 S (Julius)	North sea	2015	0.0	4.75	7.03
6706/11-2 (Gymir)	Norwegian sea	2015	0.0	2.0	2.0
6706/12-2 (Snefrid Nord)	Norwegian sea	2015	0.0	6.3	6.3
6406/2-8 (Imsa Sør)	Norwegian sea	2015	0.48	0.22	0.7
2/4-22 S (Romeo)	North sea	2015	0.94	0.31	1.25
15/6-13	North sea	2015	0.44	0.71	1.28
6707/10-3 S (Ivory)	Norwegian sea	2014	0.0	5.1	5.1
30/11-10 (Krafla Nord)	North sea	2014	1.83	0.52	2.42
6407/1-7	Norwegian sea	2014	0.0	1.1	1.4
6406/12-3 S (Pil)	Norwegian sea	2014	11.1	4.2	16.94
6406/12-3 A (Bue)	Norwegian sea	2014	1.92	0.17	2.09
35/11-17 (F-Vest)	North sea	2014	0.49	0.27	0.76
25/5-9 (Trell)	North sea	2014	1.53	0.0	1.53
7220/11-1 (Alta)	Barents sea	2014	26.1	9.7	35.8
16/4-6 S (Luno II)	North sea	2013	8.59	2.47	11.06
30/11-9 S (Askja)	North sea	2013	6.82	7.46	17.11
7120/1-3 (Gohta)	Barents sea	2013	14.57	6.22	20.79
34/10-C-18 A	North sea	2013	0.3	0.2	0.58
25/11-27	North sea	2013	4.35	0.0	4.35
6407/8-6 (Snilehorn)	Norwegian sea	2013	7.45	2.1	10.67
6608/10-15 (Svale Nord)	Norwegian sea	2013	1.74	0.08	1.86
7324/8-1 (Wisting)	Barents sea	2013	38.3	0.0	38.3
6407/1-6 S	Norwegian sea	2013	0.0	1.7	2.1
34/6-2 S (Garantiana)	North sea	2012	12.12	0.49	12.61
35/9-7 (Skarfjell)	North sea	2012	11.01	4.23	17.7
2/4-21 (King Lear)	North sea	2012	0.0	8.1	13.6
33/12-9 S (Skinfaks Sør)	North sea	2012	0.55	0.45	1.16
